#,Title,Artist,Album,Duration
326,Tarzan,Various artists,Voodoo Lou,01:59
327,Who's That Under My Bed,Various artists,Voodoo Lou,02:24
328,Half Ton Tillie,Various artists,Voodoo Lou,02:10
329,Love Birds,Various artists,Voodoo Lou,02:14
330,Blacksmith Blues,Various artists,Voodoo Lou,02:44
331,Gonna Stick To You Baby,Various artists,Voodoo Lou,02:08
332,"Your Drivers License, Please",Various artists,Voodoo Lou,02:01
333,Rock And Roll Fever,Various artists,Voodoo Lou,02:06
334,Skinny Ginny,Various artists,Voodoo Lou,02:30
335,Dr. Jekyll & Mr. Hyde,Various artists,Voodoo Lou,02:15
336,No Sackie Sack,Various artists,Voodoo Lou,02:28
337,My Goose Is Cooked,Various artists,Voodoo Lou,02:11
338,Trim Your Tree,Various artists,Voodoo Lou,02:01
339,Love Money,Various artists,Voodoo Lou,02:08
340,"I Hate, But I Like Popcorn",Various artists,Voodoo Lou,02:03
341,Sputnik Baby,Various artists,Voodoo Lou,02:21
342,Slippity,Various artists,Voodoo Lou,02:31
343,Nursery Rhyme Rock,Various artists,Voodoo Lou,02:02
344,Cottonhead Joe,Various artists,Voodoo Lou,02:08
345,Rock'N'Roll Jungle,Various artists,Voodoo Lou,02:20
346,Back Door Man,Various artists,Voodoo Lou,02:30
347,Puppy Howl Blues,Various artists,Voodoo Lou,02:16
348,Sack,Various artists,Voodoo Lou,01:59
349,Big Chief Hug-Um An' Kiss Um,Various artists,Voodoo Lou,02:13
350,Mr. Blues,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:27
351,She'll Be Gone,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:03
352,Johnny Lee,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:16
353,Market Place,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:46
354,I'm Just A Woman,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:45
355,Ain't Gonna Hush,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:32
356,Hambone,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:37
357,Finally Met My Baby,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:22
358,Got My Mo-Jo Working,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:36
359,My Baby Waited Too Long,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:44
360,Whole Lotta Shakin' Goin' On,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:46
361,Oh! Baby,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:06
362,My Baby Has Gone,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,01:52
363,Drill Daddy Drill,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:56
364,A Fool In Love,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:21
365,Scarred Knees,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,03:21
366,A-Don't Talk Back,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:41
367,My Man Is a Lover,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:41
368,Scorched,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:29
369,My Man Rockhead,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:39
370,T'Aint Whatcha Say,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:49
371,He's The One That Rings My Bell,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:31
372,Rocket 69,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:42
373,I Thought I Told You Not To Tell Them,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:10
374,One More Chance,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,01:54
375,Fujiyama Mama,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:30
376,Rockin' Bed,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,03:04
377,Beer Bottle Boogie,Various artists,Aint Gonna Hush: And Make Some Good Girls Bad,02:39
378,Do Unto Others,Various artists,The Big Push,02:23
379,Roll Your Moneymaker,Various artists,The Big Push,02:46
380,Hello Baby,Various artists,The Big Push,02:49
381,Hi Fi Baby,Various artists,The Big Push,02:27
382,Think,Various artists,The Big Push,02:35
383,Pigtail,Various artists,The Big Push,02:04
384,You Don't Love Me,Various artists,The Big Push,02:34
385,Hard Headed Woman,Various artists,The Big Push,02:32
386,You Must be Crazy,Various artists,The Big Push,02:21
387,Space Guitar,Various artists,The Big Push,02:38
388,Too Much Alcohol,Various artists,The Big Push,02:31
389,I Believed In A Woman,Various artists,The Big Push,02:27
390,Let's Go Out Tonight,Various artists,The Big Push,02:32
391,Let It Shine,Various artists,The Big Push,01:58
392,The Big Push,Various artists,The Big Push,02:32
393,Swim,Various artists,The Big Push,02:30
394,Takin' Care Of Business,Various artists,The Big Push,02:53
395,Big Game Hunter,Various artists,The Big Push,02:53
396,If Things Don't Change,Various artists,The Big Push,02:17
397,Storm Warning,Various artists,The Big Push,03:17
398,Bad Case Of Love,Various artists,The Big Push,02:19
399,Okie Dokie Stomp,Various artists,The Big Push,02:35
400,Lee Street Blues,Various artists,The Big Push,01:59
401,Vanity Dresser,Various artists,The Big Push,02:27
402,Cuban Get Away,Various artists,The Big Push,03:11
403,She's My baby,Various artists,The Big Push,02:16
404,Hideout,Various artists,The Big Push,01:52
405,I Just Gotta Make Her Mine,Various artists,The Big Push,02:26
406,Shake It And Break It,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:10
407,Between The Devil & The Deep Blue Sea,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,02:41
408,Tootie Ma Is A Big Fine Thing,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,04:18
409,Louisiana Fairytale,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:08
410,After You've Gone,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:21
411,Freight Train,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:18
412,Blue Skies,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,02:39
413,Nobody Knows You When You're Down And Out,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,04:10
414,Old Rugged Cross,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,02:54
415,Trouble In Mind,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,04:11
416,Basin Street Blues,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:53
417,There Is A Light,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,04:23
418,Winin' Boy Blues,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,05:33
419,Rockin' Chair,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,02:29
420,"Baby, Won't You Please Come Home",Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:17
421,Taint Nobody's Business,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:08
422,Some Cold Rainy Day,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:28
423,I Ain't Got Nobody,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,03:38
424,La Vie En Rose,Preservation Hall Jazz Band,An Album To Benefit Preservation Hall & The Preservation Hall Music Outreach Program,02:52
425,A Wolverine Blues,The Baby Dodds Trio,Jazz A'La Creole,02:54
426,Buddy Bolden's Blues #1 (Ny2),The Baby Dodds Trio,Jazz A'La Creole,03:12
427,Drum Improvisation #1,The Baby Dodds Trio,Jazz A'La Creole,02:34
428,Albert's Blues,The Baby Dodds Trio,Jazz A'La Creole,03:14
429,Manhattan Stomp,The Baby Dodds Trio,Jazz A'La Creole,02:37
430,Drum Improvisation #2,The Baby Dodds Trio,Jazz A'La Creole,02:34
431,Buddy Bolden's Blues #2 (Ny2a),The Baby Dodds Trio,Jazz A'La Creole,03:11
432,Wolverine Blues,The Baby Dodds Trio,Jazz A'La Creole,03:00
433,Mo Pas Lemme Ca #1 (Ny35),The Baby Dodds Trio,Jazz A'La Creole,02:48
434,Salee Dame,The Baby Dodds Trio,Jazz A'La Creole,03:25
435,Les Ognons,The Baby Dodds Trio,Jazz A'La Creole,03:06
436,Creole Blues,The Baby Dodds Trio,Jazz A'La Creole,03:11
437,Mo Pas Lemme Ca #1,The Baby Dodds Trio,Jazz A'La Creole,01:57
438,Salee Dame #2,The Baby Dodds Trio,Jazz A'La Creole,02:13
439,Chocko Me Feendo Hey,The Baby Dodds Trio,Jazz A'La Creole,03:25
440,Tootie Ma Is a Big Fine Thing,The Baby Dodds Trio,Jazz A'La Creole,03:08
441,My Indian Red,The Baby Dodds Trio,Jazz A'La Creole,02:56
442,Corinne Died on the Battlefield,The Baby Dodds Trio,Jazz A'La Creole,03:14
443,Just Want Your Love (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:12
444,So Good To My Baby (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:32
445,Gabbin' Blues (Don't Run My Business) (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:39
446,My Country Man (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:33
447,Rain Down Rain,Big Maybelle,The Complete Okeh Sessions 1952-1955,03:05
448,Way Back Home (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:43
449,Please Stay Away From My Sam (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:32
450,Jinny Mule,Big Maybelle,The Complete Okeh Sessions 1952-1955,02:44
451,Send For Me (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:09
452,Maybelle's Blues (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:08
453,I've Got A Feelin' (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:55
454,You'll Never Know (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:01
455,No More Trouble Out Of Me (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:24
456,My Big Mistake (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:37
457,Ain't No Use (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:58
458,I'm Getting 'Long Alright (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:34
459,You'll Be Sorry (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:27
460,Hair Dressin' Women (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,03:23
461,One Monkey Don't Stop No Show (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:50
462,Don't Leave Poor Me (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:35
463,Ain't To Be Played With (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:29
464,New Kind Of Mambo (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:34
465,Ocean Of Tears (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:29
466,The Other Night (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:05
467,Such A Cutie (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:06
468,"Roll, Hot Rod, Roll",Oscar McLollie,"Roll, Hot Rod, Roll",03:02
469,"Take Your Shoes Off, Pop",Oscar McLollie,"Roll, Hot Rod, Roll",02:06
470,Wiggle Toe,Oscar McLollie,"Roll, Hot Rod, Roll",02:35
471,Eternal Love,Oscar McLollie,"Roll, Hot Rod, Roll",02:35
472,What You Call 'Em Joe,Oscar McLollie,"Roll, Hot Rod, Roll",02:29
473,Hot Banana,Oscar McLollie,"Roll, Hot Rod, Roll",02:21
474,The Honey Jump (Part 1),Oscar McLollie,"Roll, Hot Rod, Roll",02:22
475,The Honey Jump (Part 2),Oscar McLollie,"Roll, Hot Rod, Roll",02:56
476,Mama Don't Like It,Oscar McLollie,"Roll, Hot Rod, Roll",02:55
477,All That Oil In Texas,Oscar McLollie,"Roll, Hot Rod, Roll",02:27
478,Hey Lolly Lolly,Oscar McLollie,"Roll, Hot Rod, Roll",02:12
479,Pretty Girl,Oscar McLollie,"Roll, Hot Rod, Roll",02:28
480,Love Me Tonight,Oscar McLollie,"Roll, Hot Rod, Roll",02:39
481,Lolly Pop,Oscar McLollie,"Roll, Hot Rod, Roll",02:32
482,Dig That Crazy Santa Claus,Oscar McLollie,"Roll, Hot Rod, Roll",02:31
483,Out in the Country,The Meters,Fire On The Bayou,03:38
484,Fire on the Bayou,The Meters,Fire On The Bayou,04:10
485,Love Slip Upon Ya,The Meters,Fire On The Bayou,04:59
486,Talkin' 'bout New Orleans,The Meters,Fire On The Bayou,03:38
487,They All Ask'd for You,The Meters,Fire On The Bayou,04:12
488,Can You Do Without?,The Meters,Fire On The Bayou,03:52
489,Liar,The Meters,Fire On The Bayou,05:12
490,You're a Friend of Mine,The Meters,Fire On The Bayou,04:11
491,Middle of the Road,The Meters,Fire On The Bayou,07:57
492,Running Fast,The Meters,Fire On The Bayou,01:27
493,Mardi Gras Mambo,The Meters,Fire On The Bayou,02:39
494,"'Zat You, Santa Claus? (Single Version)",Ella Fitzgerald & Louis Armstrong,Ella & Louis Christmas,02:40
495,Zat U Santa Claus?,Meaghan Smith,It Snowed,02:24
496,Boogie Woogie Santa Claus,Colin James,Little Big Band Christmas,02:45
497,Please Come Home for Christmas,Various artists,"Blues Blues Christmas, Vol 4",02:51
498,Christmas Time Blues,Various artists,"Blues Blues Christmas, Vol 4",03:00
499,White Christmas,Various artists,"Blues Blues Christmas, Vol 4",02:37
500,Guitar Jingle Bells,Various artists,"Blues Blues Christmas, Vol 4",02:43
501,Santa Claus Blues,Various artists,"Blues Blues Christmas, Vol 4",03:11
502,Santa Claus Blues,Various artists,"Blues Blues Christmas, Vol 4",02:34
503,Santa Is on His Way,Various artists,"Blues Blues Christmas, Vol 4",02:29
504,Looking for Me Santa Claus (with The Felix Krazy Cats),Various artists,"Blues Blues Christmas, Vol 4",02:24
505,It's Christmas Time,Various artists,"Blues Blues Christmas, Vol 4",02:41
506,I Hear Jingle Bells,Various artists,"Blues Blues Christmas, Vol 4",02:34
507,Santa Claus Blues,Various artists,"Blues Blues Christmas, Vol 4",02:14
508,Rudolph the Red Nosed Raindeer,Various artists,"Blues Blues Christmas, Vol 4",02:16
509,Santa Done Got Hip,Various artists,"Blues Blues Christmas, Vol 4",01:45
510,Cool Cool Christmas,Various artists,"Blues Blues Christmas, Vol 4",02:01
511,Sleighbell Rock,Various artists,"Blues Blues Christmas, Vol 4",01:58
512,Mambo Santa Mambo,Various artists,"Blues Blues Christmas, Vol 4",02:36
513,Cowboy Santa Claus (with Lil Armstrong and her Ebony-Aires),Various artists,"Blues Blues Christmas, Vol 4",02:40
514,Father Christmas,Various artists,"Blues Blues Christmas, Vol 4",02:54
515,Love for Christmas (with The Ebonaires),Various artists,"Blues Blues Christmas, Vol 4",02:55
516,Christmas in Heaven,Various artists,"Blues Blues Christmas, Vol 4",02:40
517,Christmas Time,Various artists,"Blues Blues Christmas, Vol 4",02:35
518,Mr Santa Claus (Bring Me My Baby),Various artists,"Blues Blues Christmas, Vol 4",02:21
519,It's Christmas,Various artists,"Blues Blues Christmas, Vol 4",02:06
520,Cowboy Santa Claus,Various artists,"Blues Blues Christmas, Vol 4",02:08
521,Santa Claus Rock and Roll,Various artists,"Blues Blues Christmas, Vol 4",02:16
522,Tell Santa Claus,Various artists,"Blues Blues Christmas, Vol 4",03:07
523,Christmas Eve Baby,Various artists,"Blues Blues Christmas, Vol 4",02:18
524,"A Mother, A Father, A Baby",Various artists,"Blues Blues Christmas, Vol 4",03:11
525,Christmas Eve,Various artists,"Blues Blues Christmas, Vol 4",04:24
526,Answer to Maple on the Hill - Part-4,Various artists,"Blues Blues Christmas, Vol 4",03:08
527,Silent Night,Various artists,"Blues Blues Christmas, Vol 4",02:39
528,Children Go Where I Send Thee,Various artists,"Blues Blues Christmas, Vol 4",02:26
529,Twenty-Fifth Day of December (When Was Jesus Born),Various artists,"Blues Blues Christmas, Vol 4",02:30
530,Sweet Little Angel Boy,Various artists,"Blues Blues Christmas, Vol 4",02:58
531,A Child Is Born,Various artists,"Blues Blues Christmas, Vol 4",02:30
532,Glory Glory to the King,Various artists,"Blues Blues Christmas, Vol 4",02:35
533,Can This Be Christmas,Various artists,"Blues Blues Christmas, Vol 4",02:53
534,Christmas Is a Joyful Day,Various artists,"Blues Blues Christmas, Vol 4",02:44
535,Happy New Year to You,Various artists,"Blues Blues Christmas, Vol 4",01:43
536,After New Year's Eve,Various artists,"Blues Blues Christmas, Vol 4",02:48
537,Please Come Home For Christmas,Aaron Neville,Aaron Neville's Soulful Christmas,02:52
538,Please Come Home For Christmas (Album Version),Various artists,An Austin Rhythm And Blues Christmas,04:01
539,Whole Lotta Shakin' Goin' On (Album Version),Big Maybelle,The Complete Okeh Sessions 1952-1955,02:57
540,Coupe de Ville,Si Cranstoun,Dancehalls & Supper Clubs,03:15
541,Run Free,Si Cranstoun,Dancehalls & Supper Clubs,04:22
542,Italian Eyes,Si Cranstoun,Dancehalls & Supper Clubs,02:34
543,Daddy's Gotcha,Si Cranstoun,Dancehalls & Supper Clubs,04:20
544,Tweet On Twitter,Si Cranstoun,Dancehalls & Supper Clubs,04:04
545,Ella Hula Hula,Si Cranstoun,Dancehalls & Supper Clubs,03:44
546,Nighttime,Si Cranstoun,Dancehalls & Supper Clubs,06:16
547,Bella Principessa,Si Cranstoun,Dancehalls & Supper Clubs,03:03
548,Rise & Shine,Si Cranstoun,Dancehalls & Supper Clubs,03:32
549,Moon & Stars,Si Cranstoun,Dancehalls & Supper Clubs,03:17
550,Dynamo,Si Cranstoun,Dancehalls & Supper Clubs,02:44
551,Lonesome Heart Bandit,Si Cranstoun,Dancehalls & Supper Clubs,03:20
552,Mary Lou,Si Cranstoun,Smokehouse Sessions,02:16
553,True Lovers,Si Cranstoun,Smokehouse Sessions,02:33
554,Rosie Lees,Si Cranstoun,Smokehouse Sessions,02:42
555,Around Midnight,Si Cranstoun,Smokehouse Sessions,03:32
556,Ruby Baby,Si Cranstoun,Smokehouse Sessions,02:58
557,The Throwback,Si Cranstoun,Smokehouse Sessions,03:50
558,Them There Eyes,Si Cranstoun,Smokehouse Sessions,01:53
559,Sea Cruise,Si Cranstoun,Smokehouse Sessions,02:09
560,Little By Little,Si Cranstoun,Smokehouse Sessions,02:41
561,50's Pin Up,Si Cranstoun,Smokehouse Sessions,02:46
562,At Last,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:04
563,I Just Want To Make Love To You,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:10
564,Sponful,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:52
565,One For My Baby,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:32
566,Stormy Weather,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:12
567,All I Could Do Was Cry,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:58
568,Roll With Me Henry (The Wallflower),Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:09
569,Good Rockin' Daddy,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:30
570,If I Can't Have You,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:52
571,I Hope You're Satisfied,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:07
572,My Dearest Darling,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:07
573,Dance With Me Henry,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:26
574,Someone To Watch Over Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,06:01
575,These Foolish Things,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,04:00
576,Don't Cry Baby,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:33
577,Fool That I Am,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:02
578,In My Diary,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:39
579,Seven Day Fool,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:03
580,It's Too Soon To Know,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:52
581,Dream,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:28
582,I'll Dry My Tears,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:42
583,Plum Nuts,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:05
584,Don't Get Around Much Anymore,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:28
585,Anything To Say You're Mine,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:39
586,Trust In Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:03
587,A Sunday Kind Of Love,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:20
588,Tough Mary,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:29
589,Boy Of My Dreams,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:27
590,Sunshine Of Love,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:29
591,Come What May,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:09
592,The Pick Up,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:24
593,We're In Love,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,01:50
594,Hey Henry,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:56
595,My Heart Cries,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:38
596,Tough Lover,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:13
597,Good Lookin',Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:13
598,By The Light Of The Silvery Moon,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:15
599,That's All,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:18
600,Be Mine,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:53
601,Crazy Feeling,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:19
602,"Hold Me, Squeeze Me",Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:34
603,If It Ain't One Thing,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:20
604,Fools We Mortals Be,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:25
605,Baby Baby Every Night,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:27
606,Nobody Loves You Like Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:29
607,Tears Of Joy,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:31
608,My One And Only,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:33
609,Strange Things Happening,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:34
610,Shortnin' Bread Rock,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:34
611,I'm A Fool,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:34
612,Then I'll Care,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:36
613,How Big A Fool,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:43
614,Waiting For Charlie,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:08
615,Guess Again,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:15
616,A Lover's Mourn,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:35
617,You Can Count On Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:37
618,Something's Got A Hold On Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:49
619,My Dear,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:34
620,Nobody But You,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:23
621,Let Me Know,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:05
622,Don't Take Your Love From Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:37
623,How Do You Speak To An Angel,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:39
624,Fools Rush In,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:01
625,Don't Blame Me,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:24
626,Again,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:42
627,I Want To Be Loved,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:23
628,It Could Happen To You,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:21
629,Prisoner Of Love,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:15
630,Street Of Tears,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:35
631,Stop The Wedding,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:52
632,Next Door To The Blues,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:48
633,Would It Make Any Difference,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:39
