#,Title,Artist,Album,Duration
58,Bring My Cadillac Back,VARIOUS ARTISTS,"Dont Mess With Me, Baby!",02:25
59,A Little You,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:15
60,Shtiggy Boom,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:22
61,The Sound of My Man,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:38
62,Knock Knock,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:13
63,Bob o Link,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:39
64,Shortnin Bread Rock,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:35
65,A Rockin' Good Way,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:14
66,Medicine Man,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:21
67,Every Night in the Week,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:37
68,Don't Knock It,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:18
69,Zig Zag,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",01:54
70,22 Minutes,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:22
71,Don't Mess with My Man,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:17
72,Oh Yes,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:15
73,Prove You Love Me Baby,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:13
74,Real Fine Daddy,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:19
75,I Feel so Low,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:18
76,Don't Shout at Me Daddy,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:19
77,I'm Gonna Be a Fool Next Monday,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:01
78,Don't Take Your Love,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:21
79,Headin' Home,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:21
80,Who Walks in When I Walk Out,VARIOUS ARTISTS,"Rock and Roll Vixens, Vol. 2",02:21
81,In the Dark,Johnny Otis,Lonely River,02:09
82,It's Too Soon to Know,Johnny Otis,Lonely River,02:16
83,The Midnite Creeper,Johnny Otis,Lonely River,02:54
84,Hey Hey Hey Hey,Johnny Otis,Lonely River,02:54
85,A Story Untold,Johnny Otis,Lonely River,01:59
86,Hum Ding A Ling,Johnny Otis,Lonely River,01:53
87,"Shake it, Lucy Baby",Johnny Otis,Lonely River,05:17
88,Sh-Boom,Johnny Otis,Lonely River,02:23
89,One Mint Julep,Johnny Otis,Lonely River,02:19
90,Lonely River,Johnny Otis,Lonely River,02:23
